ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿
2020-12-28,'002460,¸Ó·æï®Òµ,107.01,109.99,103.11,109.12,108.88,-1.87,-1.7175,36820155
2020-12-25,'002460,¸Ó·æï®Òµ,108.88,108.88,97.9,98.98,98.98,9.9,10.002,35491490
2020-12-24,'002460,¸Ó·æï®Òµ,98.98,100.82,94.66,98.46,96.53,2.45,2.5381,30919239
2020-12-23,'002460,¸Ó·æï®Òµ,96.53,98.31,93.01,93.01,92.3,4.23,4.5829,34701708
2020-12-22,'002460,¸Ó·æï®Òµ,92.3,98.35,91.49,93.51,93.5,-1.2,-1.2834,39076767
2020-12-21,'002460,¸Ó·æï®Òµ,93.5,94.09,88.24,90.5,89.4,4.1,4.5861,40053629
2020-12-18,'002460,¸Ó·æï®Òµ,89.4,90.11,82.95,83.57,83.3,6.1,7.3229,40766438
2020-12-17,'002460,¸Ó·æï®Òµ,83.3,85.88,82.13,83.0,83.15,0.15,0.1804,26076169
2020-12-16,'002460,¸Ó·æï®Òµ,83.15,84.22,82.49,83.21,83.5,-0.35,-0.4192,18462047
2020-12-15,'002460,¸Ó·æï®Òµ,83.5,83.56,80.68,82.06,82.05,1.45,1.7672,21314932
2020-12-14,'002460,¸Ó·æï®Òµ,82.05,82.33,76.75,79.0,78.7,3.35,4.2567,24630570
2020-12-11,'002460,¸Ó·æï®Òµ,78.7,80.77,76.76,80.01,79.0,-0.3,-0.3797,21323429
2020-12-10,'002460,¸Ó·æï®Òµ,79.0,80.55,77.49,79.14,80.0,-1.0,-1.25,20363080
2020-12-09,'002460,¸Ó·æï®Òµ,80.0,85.65,79.2,83.13,82.24,-2.24,-2.7237,35619041
2020-12-08,'002460,¸Ó·æï®Òµ,82.24,83.8,80.03,80.88,79.8,2.44,3.0576,25159475
2020-12-07,'002460,¸Ó·æï®Òµ,79.8,81.4,77.8,78.02,78.02,1.78,2.2815,27390430
2020-12-04,'002460,¸Ó·æï®Òµ,78.02,78.53,75.11,75.11,74.76,3.26,4.3606,26870340
2020-12-03,'002460,¸Ó·æï®Òµ,74.76,76.02,73.0,75.18,75.45,-0.69,-0.9145,17349261
2020-12-02,'002460,¸Ó·æï®Òµ,75.45,78.71,74.8,77.75,78.32,-2.87,-3.6645,25491562
2020-12-01,'002460,¸Ó·æï®Òµ,78.32,78.87,76.15,77.0,78.2,0.12,0.1535,17371578
