日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-12-28,'600519,贵州茅台,1873.0,1888.8,1826.05,1826.6,1830.0,43.0,2.3497,3008037
2020-12-25,'600519,贵州茅台,1830.0,1847.0,1800.0,1802.99,1830.34,-0.34,-0.0186,2308805
2020-12-24,'600519,贵州茅台,1830.34,1858.88,1795.02,1818.0,1841.65,-11.31,-0.6141,3785714
2020-12-23,'600519,贵州茅台,1841.65,1906.2,1821.02,1897.99,1881.0,-39.35,-2.092,4770609
2020-12-22,'600519,贵州茅台,1881.0,1898.99,1842.51,1849.97,1842.5,38.5,2.0896,4065060
2020-12-21,'600519,贵州茅台,1842.5,1851.23,1837.6,1840.0,1845.0,-2.5,-0.1355,3069672
2020-12-18,'600519,贵州茅台,1845.0,1869.01,1841.08,1851.81,1865.51,-20.51,-1.0994,2707698
2020-12-17,'600519,贵州茅台,1865.51,1868.0,1840.0,1845.5,1840.0,25.51,1.3864,3603064
2020-12-16,'600519,贵州茅台,1840.0,1845.67,1820.21,1830.5,1816.01,23.99,1.321,3215016
2020-12-15,'600519,贵州茅台,1816.01,1837.22,1805.0,1833.5,1829.0,-12.99,-0.7102,2960497
2020-12-14,'600519,贵州茅台,1829.0,1829.98,1815.0,1827.77,1820.0,9.0,0.4945,3305200
2020-12-11,'600519,贵州茅台,1820.0,1837.32,1804.81,1834.78,1832.9,-12.9,-0.7038,3077579
2020-12-10,'600519,贵州茅台,1832.9,1849.77,1828.0,1840.0,1840.0,-7.1,-0.3859,3265354
2020-12-09,'600519,贵州茅台,1840.0,1866.0,1839.0,1865.95,1850.0,-10.0,-0.5405,3115212
2020-12-08,'600519,贵州茅台,1850.0,1875.0,1813.0,1815.0,1812.4,37.6,2.0746,6145400
2020-12-07,'600519,贵州茅台,1812.4,1840.39,1800.55,1802.7,1793.11,19.29,1.0758,5833133
2020-12-04,'600519,贵州茅台,1793.11,1800.1,1752.0,1752.0,1749.0,44.11,2.522,6249119
2020-12-03,'600519,贵州茅台,1749.0,1755.66,1732.1,1738.01,1738.01,10.99,0.6323,2950578
2020-12-02,'600519,贵州茅台,1738.01,1749.0,1731.0,1746.0,1737.0,1.01,0.0581,2357169
2020-12-01,'600519,贵州茅台,1737.0,1738.99,1720.01,1726.0,1713.91,23.09,1.3472,2819620
2020-11-30,'600519,贵州茅台,1713.91,1738.9,1713.91,1735.0,1737.9,-23.99,-1.3804,3194007
2020-11-27,'600519,贵州茅台,1737.9,1740.03,1718.0,1732.66,1734.39,3.51,0.2024,2156861
2020-11-26,'600519,贵州茅台,1734.39,1739.99,1725.18,1726.0,1726.88,7.51,0.4349,2322830
2020-11-25,'600519,贵州茅台,1726.88,1768.88,1724.0,1761.5,1763.5,-36.62,-2.0766,2822632
2020-11-24,'600519,贵州茅台,1763.5,1782.5,1751.47,1769.99,1790.21,-26.71,-1.492,3246536
2020-11-23,'600519,贵州茅台,1790.21,1809.9,1771.01,1771.01,1719.96,70.25,4.0844,6663724
2020-11-20,'600519,贵州茅台,1719.96,1736.0,1712.65,1720.0,1720.19,-0.23,-0.0134,2187466
2020-11-19,'600519,贵州茅台,1720.19,1725.0,1680.6,1684.5,1693.65,26.54,1.567,2781576
2020-11-18,'600519,贵州茅台,1693.65,1720.53,1683.16,1715.0,1715.8,-22.15,-1.2909,3517895
2020-11-17,'600519,贵州茅台,1715.8,1742.35,1701.07,1740.0,1730.05,-14.25,-0.8237,2522403
2020-11-16,'600519,贵州茅台,1730.05,1730.05,1697.26,1711.0,1705.0,25.05,1.4692,3061349
2020-11-13,'600519,贵州茅台,1705.0,1728.88,1691.0,1724.0,1734.79,-29.79,-1.7172,2815548
2020-11-12,'600519,贵州茅台,1734.79,1750.0,1722.27,1730.01,1731.35,3.44,0.1987,2347309
2020-11-11,'600519,贵州茅台,1731.35,1777.5,1731.0,1745.0,1745.0,-13.65,-0.7822,3485073
2020-11-10,'600519,贵州茅台,1745.0,1764.48,1736.0,1752.92,1742.57,2.43,0.1394,3018944
2020-11-09,'600519,贵州茅台,1742.57,1750.68,1700.62,1701.38,1700.62,41.95,2.4667,4146970
2020-11-06,'600519,贵州茅台,1700.62,1731.59,1690.0,1730.55,1721.9,-21.28,-1.2358,2305153
2020-11-05,'600519,贵州茅台,1721.9,1732.48,1712.1,1717.0,1699.58,22.32,1.3133,2352414
2020-11-04,'600519,贵州茅台,1699.58,1704.0,1685.0,1700.0,1695.0,4.58,0.2702,1644371
2020-11-03,'600519,贵州茅台,1695.0,1705.9,1675.5,1684.99,1674.01,20.99,1.2539,2349749
2020-11-02,'600519,贵州茅台,1674.01,1695.0,1672.0,1675.0,1670.02,3.99,0.2389,2106643
2020-10-30,'600519,贵州茅台,1670.02,1696.0,1665.0,1678.0,1676.0,-5.98,-0.3568,2605545
2020-10-29,'600519,贵州茅台,1676.0,1708.0,1647.0,1654.84,1664.81,11.19,0.6721,3937376
2020-10-28,'600519,贵州茅台,1664.81,1677.0,1625.08,1626.0,1625.0,39.81,2.4498,3463653
2020-10-27,'600519,贵州茅台,1625.0,1644.0,1616.12,1643.0,1643.0,-18.0,-1.0956,4394440
2020-10-26,'600519,贵州茅台,1643.0,1662.92,1600.0,1619.0,1715.33,-72.33,-4.2167,6601529
2020-10-23,'600519,贵州茅台,1715.33,1747.59,1714.0,1740.78,1742.5,-27.17,-1.5593,1929169
2020-10-22,'600519,贵州茅台,1742.5,1745.0,1715.51,1730.0,1733.33,9.17,0.529,2248087
2020-10-21,'600519,贵州茅台,1733.33,1742.15,1723.0,1734.1,1734.0,-0.67,-0.0386,1890137
2020-10-20,'600519,贵州茅台,1734.0,1734.97,1695.0,1699.99,1699.0,35.0,2.06,2773493
2020-10-19,'600519,贵州茅台,1699.0,1733.98,1691.9,1725.0,1712.0,-13.0,-0.7593,1922632
2020-10-16,'600519,贵州茅台,1712.0,1734.58,1703.0,1725.0,1725.0,-13.0,-0.7536,1737738
2020-10-15,'600519,贵州茅台,1725.0,1735.0,1721.0,1721.13,1729.0,-4.0,-0.2313,1620436
2020-10-14,'600519,贵州茅台,1729.0,1746.98,1726.0,1740.0,1739.0,-10.0,-0.575,2048139
2020-10-13,'600519,贵州茅台,1739.0,1750.62,1735.0,1750.62,1750.61,-11.61,-0.6632,2294389
2020-10-12,'600519,贵州茅台,1750.61,1750.61,1700.0,1700.0,1696.0,54.61,3.2199,4372904
2020-10-09,'600519,贵州茅台,1696.0,1706.42,1688.0,1692.0,1668.5,27.5,1.6482,3423988
2020-09-30,'600519,贵州茅台,1668.5,1691.9,1660.0,1660.0,1652.3,16.2,0.9805,2708781
2020-09-29,'600519,贵州茅台,1652.3,1669.4,1652.3,1669.33,1661.0,-8.7,-0.5238,1743078
2020-09-28,'600519,贵州茅台,1661.0,1668.5,1635.19,1635.19,1635.11,25.89,1.5834,2423222
2020-09-25,'600519,贵州茅台,1635.11,1650.0,1625.0,1630.0,1629.32,5.79,0.3554,2258296
2020-09-24,'600519,贵州茅台,1629.32,1658.88,1626.8,1635.97,1649.98,-20.66,-1.2521,3005078
2020-09-23,'600519,贵州茅台,1649.98,1666.01,1621.02,1635.0,1665.69,-15.71,-0.9432,3572552
2020-09-22,'600519,贵州茅台,1665.69,1686.98,1650.0,1650.0,1666.8,-1.11,-0.0666,2326547
2020-09-21,'600519,贵州茅台,1666.8,1692.76,1666.66,1692.76,1695.0,-28.2,-1.6637,2244407
2020-09-18,'600519,贵州茅台,1695.0,1695.0,1635.01,1665.0,1670.52,24.48,1.4654,4720140
2020-09-17,'600519,贵州茅台,1670.52,1700.0,1658.0,1700.0,1725.1,-54.58,-3.1639,6367985
2020-09-16,'600519,贵州茅台,1725.1,1764.81,1719.0,1760.0,1760.0,-34.9,-1.983,2251598
2020-09-15,'600519,贵州茅台,1760.0,1769.99,1747.75,1769.99,1766.0,-6.0,-0.3398,2082087
2020-09-14,'600519,贵州茅台,1766.0,1769.0,1730.58,1745.0,1733.0,33.0,1.9042,3105601
2020-09-11,'600519,贵州茅台,1733.0,1736.0,1688.0,1688.0,1705.8,27.2,1.5946,3108800
2020-09-10,'600519,贵州茅台,1705.8,1720.0,1700.0,1703.74,1688.0,17.8,1.0545,2477833
2020-09-09,'600519,贵州茅台,1688.0,1711.0,1680.04,1699.67,1711.4,-23.4,-1.3673,2596355
2020-09-08,'600519,贵州茅台,1711.4,1737.8,1677.07,1732.0,1723.5,-12.1,-0.7021,3447238
2020-09-07,'600519,贵州茅台,1723.5,1777.99,1703.97,1760.0,1770.0,-46.5,-2.6271,3111202
2020-09-04,'600519,贵州茅台,1770.0,1776.99,1746.0,1766.0,1793.0,-23.0,-1.2828,3085796
2020-09-03,'600519,贵州茅台,1793.0,1812.0,1779.7,1795.0,1795.0,-2.0,-0.1114,3043735
2020-09-02,'600519,贵州茅台,1795.0,1828.0,1770.0,1825.0,1801.98,-6.98,-0.3874,3200929
2020-09-01,'600519,贵州茅台,1801.98,1802.0,1775.01,1792.0,1786.5,15.48,0.8665,3163992
2020-08-31,'600519,贵州茅台,1786.5,1816.0,1770.58,1770.58,1757.0,29.5,1.679,4781036
2020-08-28,'600519,贵州茅台,1757.0,1764.0,1721.5,1731.0,1731.0,26.0,1.502,4229962
2020-08-27,'600519,贵州茅台,1731.0,1733.98,1705.0,1731.99,1727.0,4.0,0.2316,2263553
2020-08-26,'600519,贵州茅台,1727.0,1745.0,1715.02,1734.0,1727.0,0.0,0.0,2621573
2020-08-25,'600519,贵州茅台,1727.0,1746.78,1698.63,1704.8,1696.35,30.65,1.8068,4187249
2020-08-24,'600519,贵州茅台,1696.35,1708.0,1691.01,1700.0,1676.0,20.35,1.2142,3093344
2020-08-21,'600519,贵州茅台,1676.0,1698.0,1671.0,1673.0,1664.0,12.0,0.7212,2508241
2020-08-20,'600519,贵州茅台,1664.0,1679.0,1656.0,1674.0,1687.0,-23.0,-1.3634,2238233
2020-08-19,'600519,贵州茅台,1687.0,1717.0,1682.99,1700.0,1705.0,-18.0,-1.0557,2691498
2020-08-18,'600519,贵州茅台,1705.0,1720.0,1691.0,1697.38,1690.0,15.0,0.8876,3042281
2020-08-17,'600519,贵州茅台,1690.0,1704.35,1670.0,1674.0,1661.0,29.0,1.7459,4357201
2020-08-14,'600519,贵州茅台,1661.0,1665.7,1631.0,1639.9,1635.0,26.0,1.5902,3765318
2020-08-13,'600519,贵州茅台,1635.0,1638.88,1609.0,1630.0,1626.95,8.05,0.4948,2054134
2020-08-12,'600519,贵州茅台,1626.95,1641.0,1605.25,1633.0,1642.51,-15.56,-0.9473,2793392
2020-08-11,'600519,贵州茅台,1642.51,1666.43,1640.0,1640.0,1633.99,8.52,0.5214,3581818
2020-08-10,'600519,贵州茅台,1633.99,1644.96,1608.11,1627.97,1631.0,2.99,0.1833,2362354
2020-08-07,'600519,贵州茅台,1631.0,1649.67,1598.5,1644.77,1637.96,-6.96,-0.4249,3424205
2020-08-06,'600519,贵州茅台,1637.96,1674.03,1630.0,1670.0,1668.0,-30.04,-1.801,3264878
2020-08-05,'600519,贵州茅台,1668.0,1673.09,1643.31,1662.09,1669.99,-1.99,-0.1192,2552169
2020-08-04,'600519,贵州茅台,1669.99,1682.99,1660.0,1675.0,1668.0,1.99,0.1193,3194051
2020-08-03,'600519,贵州茅台,1668.0,1696.58,1660.0,1686.88,1678.18,-10.18,-0.6066,3466114
2020-07-31,'600519,贵州茅台,1678.18,1705.0,1646.0,1685.0,1680.0,-1.82,-0.1083,4068474
2020-07-30,'600519,贵州茅台,1680.0,1700.59,1670.5,1671.2,1672.0,8.0,0.4785,3837304
2020-07-29,'600519,贵州茅台,1672.0,1690.0,1633.0,1690.0,1670.0,2.0,0.1198,5074843
2020-07-28,'600519,贵州茅台,1670.0,1680.0,1630.0,1630.0,1622.55,47.45,2.9244,5491152
2020-07-27,'600519,贵州茅台,1622.55,1629.8,1600.0,1616.01,1595.3,27.25,1.7081,3878817
2020-07-24,'600519,贵州茅台,1595.3,1666.0,1585.0,1654.85,1676.0,-80.7,-4.815,7875201
2020-07-23,'600519,贵州茅台,1676.0,1691.0,1650.0,1672.0,1678.08,-2.08,-0.124,3432052
2020-07-22,'600519,贵州茅台,1678.08,1710.0,1658.0,1658.0,1668.0,10.08,0.6043,3920121
2020-07-21,'600519,贵州茅台,1668.0,1702.8,1630.99,1646.64,1636.96,31.04,1.8962,4196950
2020-07-20,'600519,贵州茅台,1636.96,1663.99,1588.88,1652.5,1648.05,-11.09,-0.6729,4528033
2020-07-17,'600519,贵州茅台,1648.05,1672.59,1620.0,1620.0,1614.0,34.05,2.1097,6590206
2020-07-16,'600519,贵州茅台,1614.0,1729.91,1600.0,1729.91,1752.53,-138.53,-7.9046,10224219
2020-07-15,'600519,贵州茅台,1752.53,1782.6,1744.71,1744.88,1762.0,-9.47,-0.5375,4071294
2020-07-14,'600519,贵州茅台,1762.0,1782.03,1748.4,1781.99,1781.99,-19.99,-1.1218,4609351
2020-07-13,'600519,贵州茅台,1781.99,1787.0,1714.68,1714.68,1713.85,68.14,3.9758,6072716
2020-07-10,'600519,贵州茅台,1713.85,1736.6,1688.94,1689.0,1706.0,7.85,0.4601,3710044
2020-07-09,'600519,贵州茅台,1706.0,1712.0,1682.0,1691.0,1681.34,24.66,1.4667,3503324
2020-07-08,'600519,贵州茅台,1681.34,1719.0,1660.0,1680.0,1688.0,-6.66,-0.3945,5316998
2020-07-07,'600519,贵州茅台,1688.0,1744.82,1601.0,1603.09,1600.0,88.0,5.5,6666393
2020-07-06,'600519,贵州茅台,1600.0,1616.0,1531.81,1538.0,1541.79,58.21,3.7755,5182196
2020-07-03,'600519,贵州茅台,1541.79,1552.5,1516.88,1550.0,1544.0,-2.21,-0.1431,3512581
2020-07-02,'600519,贵州茅台,1544.0,1550.9,1495.0,1499.0,1494.27,49.73,3.328,4588372
2020-07-01,'600519,贵州茅台,1494.27,1506.1,1464.02,1468.0,1462.88,31.39,2.1458,3868249
2020-06-30,'600519,贵州茅台,1462.88,1468.98,1455.12,1463.12,1463.17,-0.29,-0.0198,2244614
2020-06-29,'600519,贵州茅台,1463.17,1466.0,1437.01,1448.0,1460.01,3.16,0.2164,2808061
2020-06-24,'600519,XD贵州茅,1460.01,1465.71,1445.0,1463.6,1457.48,2.53,0.1736,2513899
2020-06-23,'600519,贵州茅台,1474.5,1482.0,1433.52,1435.0,1439.0,35.5,2.467,3393426
2020-06-22,'600519,贵州茅台,1439.0,1443.89,1433.2,1435.1,1439.84,-0.84,-0.0583,2324700
2020-06-19,'600519,贵州茅台,1439.84,1445.2,1415.1,1420.0,1413.0,26.84,1.8995,3895833
2020-06-18,'600519,贵州茅台,1413.0,1413.2,1400.1,1404.9,1405.0,8.0,0.5694,2101041
2020-06-17,'600519,贵州茅台,1405.0,1411.9,1395.02,1411.86,1403.88,1.12,0.0798,1945307
2020-06-16,'600519,贵州茅台,1403.88,1414.0,1393.13,1398.5,1383.0,20.88,1.5098,2920664
2020-06-15,'600519,贵州茅台,1383.0,1411.6,1381.0,1402.0,1416.37,-33.37,-2.356,3461541
2020-06-12,'600519,贵州茅台,1416.37,1416.37,1383.31,1387.17,1400.46,15.91,1.1361,2842742
2020-06-11,'600519,贵州茅台,1400.46,1417.99,1396.99,1411.01,1423.66,-23.2,-1.6296,3071171
2020-06-10,'600519,贵州茅台,1423.66,1433.33,1417.0,1425.0,1416.55,7.11,0.5019,2270074
2020-06-09,'600519,贵州茅台,1416.55,1425.0,1400.68,1408.0,1406.1,10.45,0.7432,2261191
2020-06-08,'600519,贵州茅台,1406.1,1435.0,1402.01,1425.0,1425.0,-18.9,-1.3263,2930045
2020-06-05,'600519,贵州茅台,1425.0,1428.88,1401.08,1405.25,1407.99,17.01,1.2081,1834706
2020-06-04,'600519,贵州茅台,1407.99,1411.0,1396.0,1396.0,1399.3,8.69,0.621,1803741
2020-06-03,'600519,贵州茅台,1399.3,1417.5,1395.77,1415.0,1410.71,-11.41,-0.8088,2355736
2020-06-02,'600519,贵州茅台,1410.71,1427.9,1406.66,1416.01,1419.5,-8.79,-0.6192,2596010
2020-06-01,'600519,贵州茅台,1419.5,1420.1,1381.0,1381.0,1366.6,52.9,3.8709,3547976
2020-05-29,'600519,贵州茅台,1366.6,1369.98,1332.1,1332.1,1344.0,22.6,1.6815,3044435
2020-05-28,'600519,贵州茅台,1344.0,1346.94,1321.13,1337.97,1338.0,6.0,0.4484,2648591
2020-05-27,'600519,贵州茅台,1338.0,1360.0,1333.0,1359.0,1358.0,-20.0,-1.4728,2677741
2020-05-26,'600519,贵州茅台,1358.0,1369.95,1355.0,1369.88,1362.9,-4.9,-0.3595,2247019
2020-05-25,'600519,贵州茅台,1362.9,1366.58,1321.0,1330.0,1328.2,34.7,2.6126,3156100
2020-05-22,'600519,贵州茅台,1328.2,1366.1,1322.88,1366.0,1366.1,-37.9,-2.7743,3442746
2020-05-21,'600519,贵州茅台,1366.1,1371.96,1352.86,1355.0,1351.0,15.1,1.1177,2305158
2020-05-20,'600519,贵州茅台,1351.0,1359.18,1336.81,1346.11,1346.11,4.89,0.3633,2118340
2020-05-19,'600519,贵州茅台,1346.11,1364.0,1338.0,1364.0,1346.21,-0.1,-0.0074,2478746
2020-05-18,'600519,贵州茅台,1346.21,1351.5,1305.13,1306.0,1313.0,33.21,2.5293,3436211
2020-05-15,'600519,贵州茅台,1313.0,1333.5,1301.88,1329.0,1326.59,-13.59,-1.0244,2639808
2020-05-14,'600519,贵州茅台,1326.59,1334.88,1325.11,1330.0,1335.95,-9.36,-0.7006,1857492
